road_id,road_name,road_type,proposed_trees,species_english,species_arabic,selection_reason,estimated_cost_egp,total_length_m,eligible_length_m,excluded_length_m
KED-ROAD-01386,شارع بكر الدكراوي,residential,41,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,20500.0,300.18,288.19,11.99
KED-ROAD-01387,شارع بكر الدكراوي,residential,41,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,20500.0,300.18,288.19,11.99
KED-ROAD-00731,شارع الجيش,secondary,41,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,20500.0,345.53,333.48,12.06
KED-ROAD-01113,شارع المستشفى الشامله,residential,36,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,18000.0,265.11,253.12,11.99
KED-ROAD-06329,شارع الترعه,residential,35,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,17500.0,263.85,251.86,11.99
KED-ROAD-01007,شارع سعيد حمادة,residential,35,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,17500.0,260.12,248.13,11.99
KED-ROAD-06328,شارع الترعه,residential,35,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,17500.0,263.85,251.86,11.99
KED-ROAD-01008,شارع سعيد حمادة,residential,35,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,17500.0,260.12,248.13,11.99
KED-ROAD-02280,شارع مدخل كفر الدوار,residential,34,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,17000.0,254.66,242.67,12.0
KED-ROAD-04552,شارع مساكن الغزل,residential,32,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,16000.0,239.12,227.12,12.0
KED-ROAD-04573,شارع مساكن الغزل,residential,32,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,16000.0,239.12,227.12,12.0
KED-ROAD-02203,طريق ترعه السعرانية,secondary,32,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,16000.0,275.83,263.72,12.11
KED-ROAD-02204,طريق ترعه السعرانية,secondary,32,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,16000.0,275.83,263.72,12.11
KED-ROAD-02838,شارع بورسعيد,secondary,31,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,15500.0,264.5,252.51,11.99
KED-ROAD-02853,شارع المضرب,residential,31,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,15500.0,231.75,219.76,11.99
KED-ROAD-02854,شارع المضرب,residential,31,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,15500.0,231.75,219.76,11.99
KED-ROAD-02839,شارع بورسعيد,secondary,31,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,15500.0,264.5,252.51,11.99
KED-ROAD-02743,شارع احمد عرابى,secondary,30,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,15000.0,273.11,253.78,19.33
KED-ROAD-02742,شارع احمد عرابى,secondary,30,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,15000.0,273.11,253.78,19.33
KED-ROAD-00052,طريق ترعه السعرانية,secondary,30,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,15000.0,252.88,240.89,11.99
KED-ROAD-00051,طريق ترعه السعرانية,secondary,30,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,15000.0,252.88,240.89,11.99
KED-ROAD-05994,شارع مساكن الغزل,residential,29,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,14500.0,221.07,209.08,12.0
KED-ROAD-05993,شارع مساكن الغزل,residential,29,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,14500.0,221.07,209.08,12.0
KED-ROAD-01362,شارع المستشفى الشامله,residential,28,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,14000.0,212.15,200.15,12.0
KED-ROAD-02869,شارع مدخل كفر الدوار,secondary,28,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,14000.0,245.91,230.01,15.9
KED-ROAD-02868,شارع مدخل كفر الدوار,secondary,27,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,13500.0,246.64,224.47,22.17
KED-ROAD-04708,شارع اللواء محمود ابراهيم الكومى,residential,26,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,13000.0,194.27,182.29,11.99
KED-ROAD-01006,شارع 3,residential,26,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,13000.0,194.85,182.87,11.99
KED-ROAD-01005,شارع 3,residential,26,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,13000.0,194.85,182.87,11.99
KED-ROAD-04709,شارع اللواء محمود ابراهيم الكومى,residential,26,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,13000.0,194.27,182.29,11.99
KED-ROAD-04244,شارع الجوهري,residential,25,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,12500.0,188.07,176.07,11.99
KED-ROAD-04243,شارع الجوهري,residential,25,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,12500.0,188.07,176.07,11.99
KED-ROAD-01064,شارع مدخل كفر الدوار,secondary,25,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,12500.0,216.57,204.58,11.99
KED-ROAD-02852,شارع بكر الدكراوي,residential,24,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,12000.0,182.89,170.89,11.99
KED-ROAD-00994,شارع القاهر,residential,24,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,12000.0,183.87,171.89,11.99
KED-ROAD-02042,شارع ابراهيم سعيد,residential,24,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,12000.0,185.41,173.42,11.99
KED-ROAD-02041,شارع ابراهيم سعيد,residential,24,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,12000.0,185.41,173.42,11.99
KED-ROAD-02851,شارع بكر الدكراوي,residential,24,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,12000.0,182.89,170.89,11.99
KED-ROAD-00993,شارع القاهر,residential,24,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,12000.0,183.87,171.89,11.99
KED-ROAD-02232,شارع 2,residential,24,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,12000.0,186.64,174.65,11.99
KED-ROAD-02231,شارع 2,residential,24,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,12000.0,186.64,174.65,11.99
KED-ROAD-00116,شارع 4,residential,23,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,11500.0,173.32,161.33,11.99
KED-ROAD-00035,شارع سعيد بركات,residential,23,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,11500.0,177.83,165.84,11.99
KED-ROAD-00115,شارع 4,residential,23,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,11500.0,173.32,161.33,11.99
KED-ROAD-02230,شارع 1,residential,23,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,11500.0,179.85,167.86,11.99
KED-ROAD-05314,شارع صيدلية الشحات الكبري,residential,23,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,11500.0,178.37,166.38,11.99
KED-ROAD-00036,شارع سعيد بركات,residential,23,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,11500.0,177.83,165.84,11.99
KED-ROAD-02229,شارع 1,residential,23,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,11500.0,179.85,167.86,11.99
KED-ROAD-05313,شارع صيدلية الشحات الكبري,residential,23,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,11500.0,178.37,166.38,11.99
KED-ROAD-04597,شارع مساكن الغزل,residential,22,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,11000.0,167.3,155.3,12.0
KED-ROAD-04596,شارع مساكن الغزل,residential,22,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,11000.0,167.3,155.3,12.0
KED-ROAD-01018,شارع مدخل كفر الدوار,secondary,22,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,11000.0,188.37,176.38,11.99
KED-ROAD-04563,شارع بورسعيد,tertiary,22,Neem,نيم,نوع طريق رئيسي/متوسط (tertiary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,11000.0,188.89,176.9,11.99
KED-ROAD-02729,شارع بورسعيد,secondary,21,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,10500.0,188.84,173.33,15.52
KED-ROAD-03815,الطريق الدولي,tertiary,21,Neem,نيم,نوع طريق رئيسي/متوسط (tertiary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,10500.0,186.22,174.23,11.99
KED-ROAD-02102,شارع صلاح ابو جبل,residential,21,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,10500.0,159.5,147.52,11.99
KED-ROAD-02101,شارع صلاح ابو جبل,residential,21,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,10500.0,159.5,147.52,11.99
KED-ROAD-01054,شارع مدخل كفر الدوار,secondary,20,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,10000.0,176.11,164.12,11.99
KED-ROAD-02651,شارع الجلاء,residential,20,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,10000.0,152.62,140.64,11.99
KED-ROAD-02630,شارع الجلاء,residential,20,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,10000.0,152.62,140.64,11.99
KED-ROAD-01116,شارع المستشفى الشامله,residential,19,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,9500.0,147.2,135.22,11.99
KED-ROAD-02228,شارع 6,residential,19,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,9500.0,147.51,135.52,11.99
KED-ROAD-02227,شارع 6,residential,19,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,9500.0,147.51,135.52,11.99
KED-ROAD-00114,شارع محمد عامر,residential,18,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,9000.0,139.24,127.25,11.99
KED-ROAD-00113,شارع محمد عامر,residential,18,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,9000.0,139.24,127.25,11.99
KED-ROAD-02339,شارع نجم,residential,17,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,8500.0,133.65,121.66,12.0
KED-ROAD-00025,شارع مجدي حسنين,residential,17,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,8500.0,132.63,120.63,12.0
KED-ROAD-00026,شارع مجدي حسنين,residential,17,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,8500.0,132.63,120.63,12.0
KED-ROAD-04679,شارع اللواء محمود ابراهيم الكومى,residential,16,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,8000.0,129.41,117.42,11.99
KED-ROAD-04743,شارع السواقين,residential,16,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,8000.0,125.56,113.57,11.99
KED-ROAD-02216,شارع 7,residential,16,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,8000.0,128.84,116.85,11.99
KED-ROAD-02215,شارع 7,residential,16,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,8000.0,128.84,116.85,11.99
KED-ROAD-04678,شارع اللواء محمود ابراهيم الكومى,residential,16,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,8000.0,129.41,117.42,11.99
KED-ROAD-02259,شارع الحاج مسعود خليل,residential,16,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,8000.0,125.76,113.77,11.99
KED-ROAD-02260,شارع الحاج مسعود خليل,residential,16,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,8000.0,125.76,113.77,11.99
KED-ROAD-01561,شارع بورسعيد,secondary,16,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,8000.0,141.1,129.12,11.99
KED-ROAD-04285,شارع مسجد التقوى,residential,16,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,8000.0,128.81,116.81,11.99
KED-ROAD-04622,شارع السواقين,residential,16,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,8000.0,125.56,113.57,11.99
KED-ROAD-01562,شارع بورسعيد,secondary,16,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,8000.0,141.1,129.12,11.99
KED-ROAD-04286,شارع مسجد التقوى,residential,16,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,8000.0,128.81,116.81,11.99
KED-ROAD-02205,"طريق كفر الدوار, ابو المطامير",secondary,16,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,8000.0,146.61,134.62,11.99
KED-ROAD-02206,"طريق كفر الدوار, ابو المطامير",secondary,16,Neem,نيم,نوع طريق رئيسي/متوسط (secondary) — تم اختيار نيم (Neem) لأعلى توافق موثّق (تحمل حراري مرتفع، احتياج مائي منخفض، ملاءمة عالية للطرق).,8000.0,146.61,134.62,11.99
KED-ROAD-03739,شارع التأمين الصحى,residential,15,Casuarina,كازوارينا,نوع طريق ضيق/سكني (residential) — تم اختيار كازوارينا (Casuarina) لانخفاض مخاطر الجذور وصغر حجم المظلة المناسب لعرض الطريق.,7500.0,117.56,105.57,11.99
